,part_of_speech,meaning_english,meaning_filipino,sample_bolinao,sample_english,upos,word
nangadikleng,va,To be characteristically small in number or size.,Napakakaunti.,Nangadikleng nin natao ko sa mangga sawanin nin taon.,My share of the mango crop this year was very smaller.,VERB,
nangaduka',adj,Really ugly.,,,,ADJ,
nangalaki,adj,The extreme large size of something.,Napakalaki.,Alaki a laman sa karni nan baka no karniwen ya ta nangalaki na.,There is a large amount of meat that is gotten from a cow when it is butchered since it is so big.,ADJ,
nangalawang,adj,To be very wide and expansive.,Napakaluwang.,,,ADJ,
nangamati,n,"Spirit of a dead person, ghost. This is the common first expression when someone sees what they think to be a spirit.",Kaluluwa; multo; Multo.,Say wangko nonangamatianta main bulong batag a manduluk-duluken nan siri.,"I thought it was aghost, but to my relief it was only a banana leaf swayed by the wind.",NOUN,
nanganda',adj,To be beautiful beyond measure.,Napakaganda.,U'nan istansa na tamo' et lamang nin kansyon ket nanganda' nayna.,Though it would yet be only the first stanza that is sung it is really very beautiful.,ADJ,
nanganro,va,"To be so very long, beyond measure.",Napakahaba.,,,VERB,
nangardil,adj,To customarily make a ruse of something in order to get one's way.,Ardil.,Nangardil na kanya' kai raya rabay nin kararag.,He is one that claims to be somebody and so the don't want him as an associate.,ADJ,
nangarugadian,n,Sawdust.,Pinaglagarian.,Madali' puuran a nangarugadian nin kayo ta pino anay kayo.,Sawdust burns quickly since the wood is very fine.,NOUN,
nangeder,adv,"To be dense, many items in a small space.",Marami.,,,ADV,
nangipagametan,vl,To put something into the hands of someone else.,Nagpaabot.,"Matalek kamon akuen nakamon Dios bana' ta si'kamoy nangipagametan nin Gugan-gan nin nibi na kona ni Moises, tan man'irangas moyon maksaw kamo konan Dios.","You are trusting that God will accept you because it is you that he handed the Law over to through Moises, and you are proudly boasting that you are influential with God.",VERB,
nangitalkan,vl,To entrust something to someone.,Mayordoma.,Si'tamon tutawo anangitalakannan Dios nin sarban main na.,We are theonesto whom God has entrusted all he has.,VERB,
naning,n,"An endearing call to a school-aged teenage girl implying a close, affectionate relation.",Ineng.,"Naning, mako kadti.","Littlegirl, come here.",NOUN,
nanueran,vl,To dig a stump out of someplace.,,,,VERB,
nanupak,va,To punch someone in the face.,,Si Dan ket makasuwan ya ta nanupak yan tawo.,Dan has a case filed against him since he punched a person in the face.,VERB,
naon,adj,"Earlier, a recent time period depending on the time spoken of.",Kanina.,Na'kit katanaon.,I saw youa little while ago.,ADJ,
napaalis,vst,"Swept away, to be swept away.",palis; anud: naanud.,Saray mitraama a nako nangawil kuna' sa taawnapaal'issaran maksaw a siri ket kai sarayna nadumog gapo.,The father and son went to catch fish out in the sea and they wereswept awayby a strong typhoon and never found anymore.,VERB,
naptalina,n,"Moth balls, an aromatic ball-shaped crystallized chemical derived by distillation from naphthalene coal-tar used against cloth-destroying insects such as moths and cockroaches.",Ito ay puti na hugis bolang kasinglaki ng holen na inilalagay sa loob ng aparador o kabinet upang itaboy ang mga insektong naninira ng damit katulad ng ipis at tanga.,"No rabay mon kasa nin ipes, mangusar kan naptalina.","If you want no cockroaches, use moth balls.",NOUN,
napu'napo',n,Devil fish.,,,,NOUN,
nara,n,"Hard, redwood tree, used for furniture.",Nara.,"Si nara, kai gapo maputol a kayo na abirno bagyo.",The narra wood will not at all be split even in a storm.,NOUN,
nardo,n,"Nard, a fragrant ointment.",Nardo.,Main awit nan sayay pangangwan a main nin laman nan pinasyan bili nin puron banglo nin say ngaran ket nardo.,There was a bottle she brought with contents of a very expensive pure perfume which was named nardo.,NOUN,
narugrog,vst,To be torn up.,,,,VERB,
narulyo,vst,To be looped or in the form of a roll.,,,,VERB,
nasa,n,Woven bamboo basket with small fish as bait that is used to trap fish or crabs.,Bangon.,Abaw a nakalap nannasanin giwey.,Thebamboo crab traphas caught a lot.,NOUN,
nasarino,n,"The statue or picture of Jesus Christ carrying the cross kneeling in anguished of suffering, tortured by the Jews on the way to Golgotha.",Nasareno.,Itaw sa Qiapo' main itaw nin Nasarino.,ThereisaNazarenein Qiapo Church.,NOUN,
nasiglot,vst,To be knotted.,,,,VERB,
nasyon,n,A nation or country.,Bansa.,Milalaban li' a nunasyon sa saya tan saya.,Nations will fight against each other.,NOUN,
natibidad,n prop,"Nativity, the celebration of the birth of Christ at Christmas.",Natibidad.,Gulpin mamantay nin paliwa' nin natibidad sa plasa.,There are many that watch the nativity play in the plaza.,PROPN,
natnat,n,The ability of something to stretch or flex.,Unat.,"Si natnat nan siti si pantalon ko, nasida' a nikagwa' na.",The stretchablness of this pair of pants of mine ruined its quality of workmanship.,NOUN,
natnaten,vo,"To stretch something flexible out, usually elastic, from two sources.",Unatin.,Natnatenmay rubir.,You stretched the rope.,VERB,
natural,adj,"Nature, original stature or condition of something.",Natural.,Siin talagaynaturalna.,That is really hisnature.,ADJ,
naturalisa,n,"A naturalist, a field biologist.",Naturalesa.,,,NOUN,
nawadi',vst,To be pretentious and only giving the half truth.,,"Nawadi' tutuon rabay nako ni Basang, anta main kai, no mi'sa buga' tamo'.","It is partially true that I likeBasang; the fact is yes and no, at times just a little.",VERB,
nawnaw,inf,The act of  sloshing something in water to remove particles of dirt and debris.,Kanaw.,Nawnaw nan nawnaw anggan makasa a bura' nan aysing.,She sloshed and sloshed it until there were no soap bubbles on the dress.,VERB,
nawnawan,vl,To slosh dirt out or off using a small amount of water.,,Nawnawan mo a dinumyek sa lata pigaw malinisan ya.,Slosh out what has settle in the bottom of the can so that it will be clean.,VERB,
nawnawen,vo,"To use a shaking motion in water to clean something, as done with rice seedlings when rinsed in water to clean the roots for transplanting.",Lawlaw; hinaw.,Nawnawenmoy seket yapo' ba'yo mo sabunen pigaw maringgasan buga'.,"Initially sloshthe clothes in the water so that they will be cleaned a bit, and after that soap them up.",VERB,
nayabi,n,Last night.,Kagabi.,Napakna ako bana' konan kudornayabi.,I was awakened because of the thunderlastnight.,NOUN,
naylon,n,A rope or fishing line made from synthetic fibers.,,Nabulsot yay numiro bayinti singko nin naylon ko ta alaki yay nakalap kon kuna'.,The snap number of my line is 25 since the fish I am catching are big.,NOUN,
naynay,adv,"Continuous, never ending.",Naynay; lis; yano; largo.,Magmatalek ako tanannaynaykonan Catawan ta syay ilalwan kon mamabyay.,I'll continually put my trust in God for He is my hope in life.,ADV,
nayon,n,To be over the passing of time.,Paglipas ng panahon.,"Nayon anan napalabas, main ya et si a'song ni Laking ko.",A long time has passed by but the mortar of my Grandfather still survives.,NOUN,
nepeg,mod,"Ought to be, to be the proper or correct thing to do in the society.",Dapat.,Kasa nin ma'kit kon nepeg nin panintinsyawan ko kona.,There is nothing that I see that I ought to punish him for,AUX,
nepegen,vo,To get rights to something.,,"Kanya' nin ibi tamo konra a sarban nepegen ra, bara'mon say pammayad tamon buis tan raruma et nin singiren nan gubyirno, tan say pangingibilang tan pammagalang tamo konran tutawon gubyirno.","Therefore we give to them everything that is their right, such as the payment of taxes and other things the government collects, and our respect and honor of the people in government.",VERB,
nepnep,n,A time of non-stop rain fall.,Maulan.,Tumarana' anepnepno Hunyo.,The non-stop rains begin in June.,NOUN,
nerner,n,"Pressure, the act of pushing something in.",Diin.,Maksaw a nerner ko no mangigad akon kuna' kanya' madali' yan maigad.,My pressure is hard when I slice fish and so it is easily sliced.,NOUN,
ners,n,"Nurse, men or women who assist the doctor and care for the patients.",Nars.,SaSaudisawanin ket matkap ray ners.,Today in Saudi they need nurses.,NOUN,
nga'min,n,"The whole as individual parts, whether number, quantity or amount.",Lahat.,"Ansain awit mo, ikontamo in para nga'min?","What's that you are carrying, is it forallof us?",NOUN,
ngali-ngali,adv,"Nearly, about, maybe, might be, somehow.",Marahil.,Ngali-ngalinin rumate' yay amigo ko sawanin.,Maybemy friend will arrive today.,ADV,
ngalngal,n,Mastication of food in the mouth by those who have few teeth.,Ngata.,"Si ngalngal mo, andi' mo ipada komi ta mabistay ngipen mi.",Don't equate your mastication of food with ours for our teeth are good.,NOUN,
ngalngalen,vo,"To chomp on food without teeth, so mashing with the gums.",Ngatain.,Man'anusan nanngalngalena kanen nan masiken abirno matalag a ngipen na.,The old man ismasticatinghis food patiently although he has but few teeth.,VERB,
ngalwangalwan,n,"The wrist, the joint of the arm and hand.",Galang-galangan.,"Singalwangalwanna ni Ambi', kasayna ta nabungbong ya.",The wrist of Ambi is gone since it was blown off by dynamite.,NOUN,
nganga,n,"For something that can open to have a wide opening such as a wound, the ground or a mouth.",Nganga.,Alaki a nganga ni Ambol no mangan tan no maka'ngap ya.,Ambol's mouth is opened wide when he eats and when he is surprised.,NOUN,
ngaran,n,"The name of something, what it is identified by.",Pangalan.,Aningaranmo?,What is yourname?,NOUN,
ngaranan,vl,To give a name to someone.,Pangalanan.,Ngaranan kata ninCefas.,I name you Cephas.,VERB,
ngarasngas,n,The sound made when eating something crisp such as lettuce or singkamas.,,,,NOUN,
ngarep,n,A good fit of something.,Lapat.,Mabista a ngarep nan purta sa hamba.,It is a good fit of the door in the door jamb.,NOUN,
ngarikngik,n,A controlled or restrained outburst of laughter having implications of a joke or sarcasm and may be high pitched.,Hagikgik.,"Si ngarikngik na, umabot ya anggan rubari' kwarto.",His outburst of laughter can be heard into the neighboring house.,NOUN,
ngaris,n,"The bone structure, gums and palate of the upper jaw.",Ngalangala.,Dinmalit yay tinapay sa ngaris nan aso.,The bread stuck to the roof of the dog's mouth.,NOUN,
ngatngat,n,"A large piercing bite of something, usually repeated and implying a sharp or damaging action.",Ngatngat.,Alaki a ngatngat mo kanya' ka masiba'.,You have a big bite and so you are a voracious eater.,NOUN,
ngatngatan,vl,argue loudly over s/t,Magtaltalan; nagtataltalan; daldalan.,Ngatngatanran mitraasawa nin maksaw nin away.,The husband and wife shouted each other in hot discussion.,VERB,
ngawngaw,n,"A loud, unpleasant and disturbing noise.",Ngawngaw.,,,NOUN,
ngawngawan,vl,Loud and empty talk.,Ngaw-ngaw; ngayngay; ngasngas.,Ngawngawanra.,They are just talking nonsense.,VERB,
ngernger,n,A growl.,Angil.,"Tinma'way ya nin maksaw ket say busis na, bara'mo nin ngernger nin leon.",He shouted loudly and so his voice seemed to be the growl of a lion.,NOUN,
ngerngeran,vl,"To snarl angrily at something, with or without the sound.",Angilan.,Nginerngeran nakon aso ni Pedro sin nako akodtaw konra ta kai nako katanda'.,Pedro's dog snarled at me when I went there to their place since it did not know me.,VERB,
ngetnget,n,"The cut made by a sharp object, it could be from a bite such as by a dog..",Ang pagputol sa bagay gamit ang patalim.,Ngetnget a nangyadian sin inayuma yay iskrin.,The slice happened there when he was mending the screen.,NOUN,
ngeyengey,inf,Continuous sobbing out of grief and deep sorrow.,Tanguy-ngoy.,Ngeyegey nan nangibwat sa simbaan anggan simintiryo.,She sobbed with grief from the church to the cemetery.,VERB,
ngibel,adj,For a tooth or several teeth to be missing or broken from decaying or extraction.,Bungi.,Ngibelya kanya' nin ma'teng yan mangan.,Some of her teeth are missing that's why it takes her so long to eat.,ADJ,
ngibelen,vo,To take out teeth by pulling or knocking them out.,Bungiin.,Saray raruman dintista ket ngibelen nasaray anak pigaw mabista li' a katubo' nin pirmaninti nin ngipen ra.,Some dentists will remove children's teeth so that the permanent teeth will grow in nicely later.,VERB,
ngikngik,n,The noise of pigs awaiting feeding time.,Ngikngik.,"Say ngikngik nan baboy, umabot anggan rubari' bali.",The grunt of the pig can be heard clear over to the neighbors.,NOUN,
ngilin,n,"A fast, normally from food.",Ayuno.,"Si ngilin, kai ya magwa' no mabitil ka.",A fast is not possible if you are starving.,NOUN,
ngilinen,vo,"To observe and give respect to and do the appropriate things on special religious days such as abstaining from food, work or anything else.",Mag-ayuno; Mangilin; magpigil; tumigil.,"Main nin manngilinen moyo layin awro, bulan, tyimpo, tan taon sa pangngipa'ka' moyo a mag'in kamon mapteg sa pangingikit nan Dios bana' sa sain!","I believe you are having observances of fasting for days, months, seasons, and years which in your estimation will make you righteous in the sight of God because of doing those!",VERB,
ngimros,n,The act of bolting or a sudden leaving from someplace.,,"Si ngimros na, marnge' anggan rubari'.",His bolting was heard across the street.,NOUN,
ngingintar,n,Trembling or shivering on account of fear or coldness.,Nginig.,Madlaw a ngingintar nin busis na sin nangansyon ya si Ella bana' sa nirbyos na.,The trembling of Ella's voice because of nervousness when she sang was obvious.,NOUN,
ngipen,n,Tooth.,Ngipin.,Naglat yay sayay ngipen ni Jose sin nangan yan matib'ey nin mais.,Jose lost a tooth when he ate the tough corn.,NOUN,
ngirew,adj,"The jagged or bent out of shape edge of a sharp cutting instrument such as a saw, coconut grater or bolo.",Tulis-tulis.,Ngirew anay ngipen na ni Rafael sa adapan.,Rafael's front teeth are rotting.,ADJ,
ngirewen,vo,For teeth to be rotted or broken off.,Mabukbok.,Ngirewen a ngipen no pirmin mangan nin masam'it.,When sweets are always being eaten the teeth rot off.,VERB,
ngirsem,n,A grimace or puckering or contortion of the face as though from something sour.,Ngiwi.,"Say ngirsem na, alaki no makataway yan maalsem.",His contortions of face are great if he happens to taste something sour.,NOUN,
ngirsi',inf,The action by people or animals of forming the lips into a wide grin with the teeth showing implying either a happy or a sneering face.,Ngisi.,Makapali'mo a ngirsi' nan aso.,A dog's showing his teeth is terrifying.,VERB,
ngirsi'an,vl,To open the lips with the teeth showing as in sneering at someone or a dog snarling.,Ngisihan.,Ngirsian nako nin abing no paka'lisen kwa.,The baby smiled at me when I laughed with him.,VERB,
