Tuwali Words,Root Word,,Affixes,,English Translation,Tagalog Translation,Meaning,Part of Speech
labong,labong,-,-,-,swell,bumukol,to be swollen; the swelling of the body due to sickness or pregnancy; bloating of the body,Verb
labtuk,labtuk,-,-,-,leap,tumalon,to jump or leap over something,Verb
labu,labu,-,-,-,curse,sumpa,to swear and use vulgar words,Verb
labulab,labulab,-,-,-,swear,magmura,to use swear words; to use vulgar language,Verb
lad-ang,lad-ang,-,-,-,ascend,umakyat,to go up to a higher elevation,Verb
lad'un,lad'un,-,-,-,stay long,manatili nang matagal,to stay for a long time in a place,Verb
ladaw,ladaw,-,-,-,late,huli,"after the expected, usual, or proper time",Adjectives
laddi,laddi,-,-,-,sling,lambanog,to use slingshot on something,Verb
laddin,laddin,-,-,-,stone (strike),bato (hampas),to hit/strike someone with a stone,Verb
ladlad,ladlad,-,-,-,peel (sugarcane),balatan (tubo),to remove sugarcane skin,Verb
ladyu,ladyu,-,-,-,listen (radio),makinig (radyo),to listen to the radio,Verb
lag'at,lag'at,-,-,-,include / involve,isama / isama,to involve others; include others,Verb
laga,laga,-,-,-,kill (carabao fight),pumatay (labanan ng kalabaw),to kill a carabao in a fierce fight,Verb
lagaban,lagaban,-,-,-,glutton,matakaw,to to be someone who eats greedily,Verb
lagadi,lagadi,-,-,-,saw (wood),lagari (kahoy),to saw wood,Verb
lagda,lagda,-,-,-,be whimsical,maging kakaiba,"to be unpredictable in behavior, to be whimsical or capricious; characterizes one who demands others' indulgence",Verb
lagetlet,lagetlet,-,-,-,heavy rain,malakas na ulan,a noisy and heavy rain,Verb
lagga,lagga,-,-,-,weave,paghabi,to weave bamboo slats into walls,Verb
laggat,laggat,-,-,-,involve,sangkot,to include something as a neccessary part of a result,Verb
laghik,laghik,-,-,-,splash,tilamsik,to splash liquid,Verb
lagim,lagim,-,-,-,singe,singe,to singe off the hair of animals or feathers of poultry,Verb
lagip,lagit,-,-,-,remember,tandaan mo,to be able to bring one's mind to awareness with what happened in the pats,Verb
lagit,lagit,-,-,-,soot-covered,natatakpan ng uling,to be sooty; for something to be covered by soot,Verb
laglag,laglag,-,-,-,fall (leaves),mahulog (dahon),the leaves of trees fall off,Verb
lagutlut,lagutlut,-,-,-,play in mud / muddy,maglaro sa putik / maputik,to play with or to be in the mud; to be muddy,Verb
lah-i,lah-i,-,-,-,overtake,maabutan,to overtake someone; to catch up with someone,Verb
lah-o,lah-o,-,-,-,fail,bigo,to be unsuccessful in achieving one's goal,Verb
lah-ot,lah-ot,-,-,-,block / intercept,harangan / harangin,to bar someone's way; stop the progress of something; to intercept someone or something,Verb
lah-un,lah-un,-,-,-,exit,labasan,"to go outside of confined area such as a building, room, car; to exit",Verb
lah'in,lah'in,-,-,-,marry,magpakasal,to be married,Verb
lahhe,lahhe,-,-,-,race,lahi,to race without a destination,Verb
lahla,lahla,-,-,-,pull vine,hilahin ang baging,to remove vine from trees by pulling at the vine,Verb
lahlay,lahlay,-,-,-,dislocated,na-dislocate,for a joint to be dislocated,Verb
lai,lai,-,-,-,prune rice leaves,putulin ang mga dahon ng palay,to remove old leaves of rice plants,Verb
laing,laing,-,-,-,intelligent,matalino,to be intelligent; to be skilled or wise,Verb
lait,lait,-,-,-,insult / slander,insulto / paninirang-puri,to verbally abuse; to vilify; to utter slanderous things,Verb
lak-am,lak-am,-,-,-,include,isama,to include someone in an activity or group,Verb
lak-ay,lak-ay,-,-,-,lift,angat,to lift up someone or something,Verb
lak-e,lak-e,-,-,-,carry / pick up,dalhin / kunin,to lift up and carry something; pick up a person at armpits,Verb
lak'a,lak'a,-,-,-,easy,madali,to be easy to do or perform,Verb
laka,laka,-,-,-,cheap,mura,low in price; worth more than its cost,Adjectives
lakat,lakat,-,-,-,replant tuber,muling magtanim ng tuber,to remove the taro tuber and replant the stem; also with the banana rhizome,Verb
lakay,lakay,-,-,-,old,matanda,having lived for a long time; no longer young,Adjectives
lakbi,lakbi,-,-,-,overflow,umaapaw,to overflow,Verb
laklak,laklak,-,-,-,dismantle,lansagin,to pull off and pull apart in order to dismantle,Verb
lakud,lakud,-,-,-,despair,kawalan ng pag-asa,to give up hope; to despair,Verb
lal-a,lal-a,-,-,-,smooth (clay),makinis (clay),to smooth the molded clay in the making of clay pots,Verb
lalaki,lalaki,-,-,-,man,lalaki,an adult male human,Noun
lalao,lalao,-,-,-,immoral,imoral,"to be immoral; refers to vulgar or shameful speech, Malalaon kanta da",Verb
lalat,lalat,-,-,-,skin (animal),balat (hayop),to remove the skin of an animal,Verb
lalit,lalit,-,-,-,lure / entice,pang-akit / pang-akit,to entice or lure someone to do something,Verb
laliw,laliw,-,-,-,longing to go,pananabik na pumunta,"the wish to go with someone you like, e",Verb
lallahe,lallahe,-,-,-,play (lallahe game),maglaro (larallahe game),to play the lallahe game,Verb
lalog,lalog,-,-,-,fly-infested,pinamumugaran ng langaw,to have flies on something,Verb
lalpaak,lalpaak,-,-,-,thud / fall,kumalabog / bumagsak,to fall with a thud,Verb
lam-ay,lam-ay,-,-,-,comfortable (life),komportable (buhay),"to have an easy, comfortable life, particularly related to work and finances",Verb
lam-ok,lam-ok,-,-,-,obtain most / take more,makakuha ng karamihan / kumuha ng higit pa,to obtain almost all of something; to get many/much more than others,Verb
lam'ut,lam'ut,-,-,-,root / take root,ugat / mag-ugat,to develop roots; to become rooted,Verb
laman,laman,-,-,-,meat,karne,"the edible flesh of animals, typically used as food",Noun
lamaw,lamaw,-,-,-,scald (animal),paso (hayop),to scald an animal by pouring or soaking in hot water to remove hair or feathers,Verb
lambike,lambike,-,-,-,cast iron pot,palayok na bakal,cast iron pot used for cooking rice,Noun
lambung,lambung,-,-,-,boil (food),pakuluan (pagkain),to cook meat or vegetables by boiling,Verb
lamelame,lamelame,-,-,-,hanging (in tatters),nakabitin (napunit),"to be hanging in disarray, due to tatters",Verb
lamesaan,lamesaan,-,-,-,put on table,ilagay sa mesa,to place on top of table,Verb
lamga,lamga,-,-,-,energetic / active,masigla / aktibo,"to be energetic, alert and active",Verb
lamka,lamka,-,-,-,wood fragments,maliliit na piraso ng kahoy,"fragments of wood, often used to start a fire",Noun
lamon,lamon,-,-,-,seed,buto,the seeds of legumes; edible roots,Noun
lamot,lamot,-,-,-,crave (food),manabik nang labis (pagkain),to have an exceeding fondness for certain foods,Verb
lampahu,lampahu,-,-,-,polish (with coconut husk),polish (na may balat ng niyog),to polish floors with a coconut husk,Verb
lampin,lampin,-,-,-,diaper,lampin,to put a diaper on a baby,Verb
lamu,lamu,-,-,-,oil / grease (apply),langis / grasa (ilapat),to put oil or grease on something,Verb
lan-i,lan-i,-,-,-,pull violently,hilahin nang marahas,to pull something forcefully or violently,Verb
lan-u,lan-u,-,-,-,sour,maasim,to have a very sour taste,Verb
lana,lana,-,-,-,oil (body),langis (katawan),to place oil on any part of the body,Verb
lanat,lanat,-,-,-,melt,matunaw,to melt lard or plastic by heat or fire,Verb
landuk,landuk,-,-,-,metal,bakal,"metal, usually refers to iron or steel",Noun
lang'a,lang'a,-,-,-,shoulder-carry,pasan-balikat,"to carry on shoulders, arm bent around to hold the thing being carried",Verb
langaan,langaan,-,-,-,roast (in clay pot),inihaw (sa clay pot),to roast in a clay pot,Verb
langan,langan,-,-,-,miss (activity),miss (aktibidad),"to be absent from regular activity like work, meal, exercise; to miss an activity",Verb
langaw,langaw,-,-,-,fruit-fly infested,pinamumugaran ng langaw ng prutas,to have fruit flies in or on something,Verb
langgote,langgote,-,-,-,sack / bag (put in),sako / bag (ilagay),to place in a sack,Verb
langhi,langhi,-,-,-,fishy smell,malansang amoy,"an unpleasant, fishy smell",Verb
langis,langis,-,-,-,oil / lubricate,langis / lubricate,to place lubricating oil,Verb
langit,langit,-,-,-,heaven,langit,"the dwelling place of God, angels, or the afterlife for the righteous.",Noun
langkak,langkak,-,-,-,lie,kasinungalingan,to lie to someone; to tell a lie,Verb
langkuyya,langkuyya,-,-,-,take lightly,magdahan-dahan,to regard something lightly; to refuse to take seriously; to take lightly or easily,Verb
langlangkak,langlangkak,-,-,-ak,tease / joke,asaran / biro,to tease or joke,Verb
langtay,langtay,-,-,-,bridge,tulay,a bridge,Noun
langu,langu,-,-,-,dry out,matuyo,"to dry out, e",Verb
languy,languy,-,-,-,swim,lumangoy,to swim,Verb
lanud,lanud,-,-,-,include,isama,to include someone in an actitivity,Verb
laoya,laoya,-,-,-,tenderize (boil),lumambot (pakuluan),to soften meat by boiling; to make meat tender,Verb
lapas,lapas,-,-,-,finish,tinapos,refers to the completion of a task or event,Verb
lapdit,lapdit,-,-,-,manhandle / grab roughly,humawak / humawak nang halos,"to pull or take hold of someone in a rough manner, to manhandle",Verb
lapis,lapis,-,-,-,mark / line (with pencil),marka / linya (na may lapis),to mark or line with a pencil,Verb
lapl'ap,lapl'ap,-,-,-,scrape skin (animal),scrape skin (hayop),to scrape animal skin with a sharp knife after it has been singed,Verb
lapne,lapne,-,-,-,sweet potato,kamote,variety of a sweet potato,Noun
lapnem,lapnem,-,-,-,your sweet potato,kamote mo,variety of a sweet potato,Noun
lappaw,lappaw,-,-,-,blossom,namumulaklak,for a plant or tree to blossom,Verb
lappog,lappog,-,-,-,wear skirt,magsuot ng palda,to wear a skirt,Verb
lappu,lappu,-,-,-,originate / source,pinanggalingan / pinagmulan,to be source of; come from,Verb
laput,laput,-,-,-,risk (life/health),panganib (buhay/kalusugan),to risk health or life by fervently doing something difficult,Verb
lapuy,lapuy,-,-,-,think easy / take lightly,mag-isip ng madali / magdahan-dahan,to think something is easy to do; to regard something lightly,Verb
lasona,lasona,-,-,-,reason / explain,dahilan / ipaliwanag,to give a reason for behavior,Verb
lati,lati,-,-,-,rusty,kinakalawang,to be rusty; to become rusty,Verb
latik,latik,-,-,-,engorged breast (milk),namamagang dibdib (gatas),"to be swollen, of a mother's breast; after giving birth and the newborn baby cannot suck all the milk",Verb
latlat,latlat,-,-,-,skin (animal),balat (hayop),to peel off animal skin; to skin an animal,Verb
latlaton,latlat,-,-,-on,skin (animal),balat (hayop),to peel off the skin of animals; to skin an animal,Verb
latlatu,latlatu,-,-,-,pictures / images,mga larawan,"visual images, drawings, or photographs",Noun
lattan,latta,-,-,-n,still,Pa rin,"Continuation of a state, unchanged or persistent",Conjunction
lattik,lattik,-,-,-,sling (hit with),lambanog (tamaan ng),to hit with a slinghshot,Verb
lattip,lattip,-,-,-,fit exactly / align,eksaktong magkasya / ihanay,"to be fitted exactly one on top of the other, in such a way that one would think it is only one instead of two, or less than the actual number",Verb
latu-ug,latu-ug,-,-,-,overfill,overfill,to overfill a container,Verb
latu-uk,latu-uk,-,-,-,swell (eyes),mamaga (mata),for eyes to swell,Verb
latud,latud,-,-,-,gather taro leaves,mangalap ng dahon ng taro,to gather taro leaves,Verb
latung,latung,-,-,-,beans,mga sitaw / patani,edible seeds from plants like mung beans or kidney beans,Noun
lau,lau,-,-,-,pass (time/person),pass (oras/tao),for a person or thing to pass by; for time to pass,Verb
law-an,law-an,-,-,-,slip (tongue),madulas (dila),to speak without thought; slip of the tongue; unintentional or careless speech,Verb
law-in,law-in,-,-,-,throw down,itapon,to throw something away so that it lands at a distance below from where one is standing,Verb
law'ah,law ah,-,-,-,useless,walang kwenta,of no help or worth,Adjectives
lawid,lawid,-,-,-,tiny fishing hook,maliit na kawit,petite fishing hook used in rivers or creeks,Noun
lawit,lawit,-,-,-,perform ritual (lawit),magsagawa ng ritwal (lawit),to perform the lawit ritual for a child,Verb
lawwan,lawwan,-,-,-,fit / attractive,akma / kaakit-akit,for something to be fitting and attractive,Verb
lay-a,lay-a,-,-,-,lie (tell false),magsinungaling (magsabi ng hindi totoo),to tell a lie; to say what is false,Verb
lay'ug,lay'ug,-,-,-,age (palm/coconut tree),edad (palma/puno ng niyog),"become an old, palm or coconut tree",Verb
laya,laya,-,-,-,ginger,luya,ginger used as spice or cooking ingredient,Noun
laylay-a,lay-a,lay-,-,-,tease / joke,asaran / biro,to tease someone or joke with them,Verb
layut,layut,-,-,-,algae,lumot,"algae found in rice fields, carefully removed to avoid damaging rice plants",Noun
leha,leha,-,-,-,sand (smooth),buhangin (makinis),to sand something,Verb
lib-it,lib-it,-,-,-,lift / carry (by hand),buhatin / buhatin (sa pamamagitan ng kamay),to use hands in lifting or carrying,Verb
libbut,libbut,-,-,-,wrap,balutin,to wrap something,Verb
libli,libli,-,-,-,free,libre,not costing any money,Adjectives
libod,libod,-,-,-,wind / wrap around,hangin/paikot-ikot,to wind one thing around another,Verb
libu,libu,-,-,-,thousands,libo-libo,cardinal number for thousands in quantity,Adjectives
lida,lida,-,-,-,cut grass,magputol ng damo,to cut grass in ricefields,Verb
lidi,lidi,-,-,-,ring (place on post),singsing (ilagay sa poste),to place wooden rings on house or granary posts,Verb
lidung,lidung,-,-,-,sunburn,sunog ng araw,to be sunburned,Verb
ligalig,ligalig,-,-,-,cut around (tree/branch),putulin (puno/sanga),"to cut around a trunk, branch or stick so that it can be felled or broken easily",Verb
ligalu,ligu,-,-al-,-,gift (give),regalo (bigyan),to give a gift,Verb
ligat,ligat,-,-,-,accept (with misgiving),tanggapin (nang may pag-aalinlangan),to accept something with misgiving and apprehension,Verb
liggu,liggu,-,-,-,turn head sideways,ipihit ang ulo,to turn head to the side; to turn away; to face sideways,Verb
ligud,ligud,-,-,-,act cowardly / backstab,kumilos ng duwag / backstab,to do something in a cowardly manner; to do a crime behind the back of the victim,Verb
lihha,lihha,-,-,-,design (weaving),disenyo (paghahabi),to place designs in woven things,Verb
lihing,lihing,-,-,-,large flies (have),malalaking langaw (mayroon),to have large flies on something,Verb
lihit,lihit,-,-,-,lightning strike,tama ng kidlat,"for lightning to strike something, usually producing fire and burning",Verb
lii,lii,-,-,-,glance sideways,sulyap sa gilid,to look at something out of the corner of the eye; to glance sidewards at someone or something,Verb
lik'on,lik'on,-,-,-,pad (wear on head/shoulder),pad (isuot sa ulo/balikat),to wear or use a pad on head or shoulder for carrying something heavy,Verb
likbut,likbut,-,-,-,cover,takip,to cover something,Verb
likkod,likkod,-,-,-,go around / circle,umikot / umikot,to go around something; to circle around,Verb
likkodon,likkod,-,-,-on,surround,palibutan,to surround,Verb
likku,likku,-,-,-,coil / bend,likid / yumuko,to coil something; bend something to form a curve,Verb
likkub,likkub,-,-,-,enclose / surround,paligiran / palibutan,to surround; to enclose on all sides,Verb
likkulik,likkulik,-,-,-,coil (be),coil (maging),for something to be coiled,Verb
likodon,likod,-,-,-on,circling / going around,pag-ikot,moving around something in a circular path,Verb
likud,likud,-,-,-,behind,sa likod,at the back of,Adverb
lima,lima,-,-,-y,five,lima,cardinal number five,Noun
limpiyu,limpiyu,-,-,-,righteous,matuwid,acting in accord with divine or moral law : free from guilt or sin,Adjectives
limpiyu,limpiyu,-,-,-,fair,patas,treating people equally without favoritism or discrimination,Adjectives
limu,limu,-,-,-,submerged,lumubog,to be submerged; to have sunk below the surface; to vanish out of sight from a horizontal plane,Verb
lin-ob,lin-ob,-,-,-,sunset,paglubog ng araw,refers to the time of the setting of the sun or moon,Verb
lin-ong,lin-ong,-,-,-,clear,malinaw,"to be clear, refers to a liquid",Verb
lina’uhana,lau,l-,-in-,-hana,passed by,dumaan,to move past a place or person; to go by,Verb
linalaki,lalaki,-,-in-,-,men,lalaki,adult male humans,Noun
linas,linas,-,-,-,line,linya,to line wood using the carpenter's string,Verb
linaylayahhan,layah,linay-,-,-han,lied to,nagsinungaling sa,to intentionally say something untrue to someone,Verb
linga,linga,-,-,-,almost cut,halos maputol,"to be nearly cut through, e",Verb
lingab,lingab,-,-,-,hollow,guwang,to be hollow; a tree that has a hole in in its trunk,Verb
linggop,linggop,-,-,-,peace,kapayapaan,to have peace of mind; may also refer to peace between social groups or warring factions,Verb
lingling,lingling,-,-,-,forget,kalimutan,to forget,Verb
linglingo,linglingo,-,-,-,indistinct,malabo,to be indistinct; something is heard that is not distinct,Verb
lingon,lingon,-,-,-,trap (birds),bitag (ibon),to trap birds using the lingon trap,Verb
lingotan,lingot,-,-,-an,to be sweaty,nagpapawis,producing sweat,Verb
lini,lini,-,-,-,clean,malinis,to clean an area; to make free from dirt or rubbish; to be clean,Verb
