Iloko,English
nagusar dagiti 47 nga agad-adal ti grade 3 ti kalub ti botelya ti proyekto da.,the 47 Grade 3 students used the lid of a bottle for their project.
nakagastos ni rogel ti php 645 ti kada bulan a para plete na ti lugan.,rogel spent php 645 every month for his fare
"no ti product na ket 45, ania dagiti factors na?","if his product is 45, what are his factors"
"ti panagbilang iti numero ket mabalin tayo nga usaren iti multiples ti maysa, dua, tallo, uppat, lima,innem, pito, walo, siyam, sangapulo ken dadduma pay a numero.","counting numbers can be used in multiples of one, two, three, four, five, six, seven, eight, nine, ten, and other numbers"
amirisen ken tarusan a nalaeng no casatno ti panagsasaruno ti panagbilang babaen iti nausar a multiples ti numero.,analyze and understand carefully how sequence of counting by the used multiples of the number.
ti division ket mangipakpakita kabaliktaran iti multiplication. nu ammom ti ag multiply nalakam laeng a masuruan ti agdivide.,division shows the opposite of multiplication. If you know how to multiply you can easily teach you to divide.
ti divisor iti mangibaga no mamin-anu nga bingayen ti dividend tapno maala ti usto nga quotient.,divisor will tell how many times to dividend is divided to get the correct qoutient
iti division ket panaggudua wenno panagbibingay ti parepareho nga bilang ti ragup.,In the division is halfing or division of the same number of groups.
"ti panagvisualize ti panagbibingay kadagiti numero aginggana 100 iti 6,7,8, ken 9.","visualization of sharing numbers up to 100 into 6,7,8, and 9 "
addaan iti remainder no ti dividend ket madi nga maedivide nga eksakto iti divisor.,it has a remainder if the dividend is not divided exactly by the divisor.
"ti panagdivide kadagiti whole numbers iti 10 weno 100, ikkaten dagiti pareho nga numero zero ayanti pareho nga dividend ken divisor.","to divide whole numbers to 10 or 100, remove the same number zero where both dividends and divisor."
"tapno maestimate tayo iti quotient, eround-off tayo diay divisor.","for us to estimate the quotient, round-off the divisor."
agpanunot iti compatible nga maidivide a numero.,think of a compatible number of numbers.
adda agit pito nga strategy iti mabalin usarentapno nalaka a surbaran dagiti word problem.,there are about seven strategy that can be used to easily solve those word problems.
ania ti remainder ti 6587 no bingayen iti 27?,What is the remainder of 6587 when divided by 27?
mano a wagas a mabalin a panaggrupo ti 125 nga agbalin a 5?,how many ways might 125 be grouped to 5?
ti even a numero ket apag-isu a mabingay iti 2.,the even number is exactly divided by 2
ti odd nga numero ket saan nga apag-isu nga mabingay iti 2.,the odd number is not exactly divided by 2
fraction a kapada ti maysa ket fractions nga agpada ti numerator ken denominator na.,fraction similar to one is fractions with the same numerator and denominator.
fraction a nasurok ngem maysa ket fraction nga dakdakkel diay numerator na ngem diay denominator na.,fraction that is more than one is a fraction that has a numerator bigger than its denominator.
"no dakdakkel iti denominator iti kapaset, ti kapaset ket basbassit.","if the denominator of a fraction is bigger, the fraction is smaller"
tultulungam met kadi ni nanang mo?,are you helping your mother too?
ania dagiti kabaelam nga aramidem tapno matulungam ni nanang mo?,what can you do to help your mother?
kasano nga pagbalinen nga agpapada a paspaset dagiti di- agpapada a paspaset.,how to make similar fraction in fractions that are not the same
ania ti oras nga ipakpakita iti relo?,what time does it show on the watch?
mano ti imana daytoy a relo?,how many hand does this watch have?
mano a segundo ti mabuo no ti short hand iti relo ket agkuti iti maysa a kompleto a rikos?,how many seconds will be formed if the short hand on the clock moves in a complete round?
ti average a bilang ti aldaw iti makabulan ket 30,the average number of days for the month is 30
adda 28 nga aldaw ti bulan iti pebrero malaksid no leap year nga addaan iti 29 nga aldaw,there are 28 days of February unless leap year with 29 days
"adda 31 nga aldaw ti bulan iti enero, marso, mayo, hulio, agosto, oktubre ken disiembre","there are 31 days of the month in january, march, may, june, august, october and December"
"adda met 30 nga aldaw ti bulan iti abril, hunio, setiembre ken nobiembre","there are also 30 days of the months in april, june, september and november"
adda 365 nga aldaw ti makatawen,there are 365 days every year
nagikarga iti 5 litro iti danum iti timba ni melai. mano a mililitro daytoy?,filled 5 liters of water into melai's bucket. mow many milliliters is this?
ni jake ket umin-inom iti 3 litro iti danum iti inaldaw.,jake drinks 3 liters of water a every day.
mano a mililitro iti danum ti in-inumenna iti inaldaw?,how many milliliters of water does he drink every day?
aglaon iti bathtub ti 75 000 ml a danum. mano a litro iti danum ti malaon iti bathtub?,bathtub can hold 75 000 ml of water. how many litres of water can the bathtub hold?
kasapulan ni nanangmo ti 2 000 ml a juice tapno mapunno ti pitsel.,your mother needs 2 000 ml of juice to fill the jug.
uppat a litro iti danum ti masapul tapno mapunno ti pagkargaan.,four liters of water are needed to fill the container.
nakausar ni carla iti 3 litro iti danum a nagluto.,carla used 3 liters of water to cook.
ania ti mabalin nga usaren a pagrukod tapno maala ti kaatiddug iti kuaderno?,what can be used as a measuring tool to get the length of a notebook?
ania nga standard unit of measure ti usaren tapno maala ti kaatiddug iti kuaderno?,what standard unit of measure to use to get the length of a notebook?
kasano ti agiyurnos ken ag-tally kadagiti datos iti maysa a table wenno tsart.,how to arrange and tally the data of a table or chart
nakitam iti napalabas a leksion a nalaklaka a basaen ti datos no nakaurnos daytoy iti table wenno tsart.,you saw in a previous lesson that the data is easier to read when it is arranged in a table or chart.
adda pay iti sabali a wagas tapno maiyurnos dagiti datos.,there is a different way in arranging data
daytoy ket ti panagusar iti bar graph.,that is the use of bar graph
makatulong ti table wenno tsart ken bar graph tapno mapalaka a matarusan dagiti datos nga i-interpret.,a table or chart and bar graph can help easily understand data to interpret
nalakam a nasungbatan dagiti saludsod wenno narigatanka?,you could easily answer questions or were you struggling?
maiparang met ditoy dagiti pagarigan a makatulong no kasano a sungbatan dagiti saludsod.,examples are also presented that can help how to answer questions.
ania aramidem tapno matarusam dagiti datos iti graph?,what do you do to understand the data in the graph?
naited kadi iti bar graph dagiti impormasion a kasapulam?,was the bar graph given the information you needed?
usaren ti bar graph tapno masungbatan dagiti saludsod.,use a bar graph to answer questions.
ti 0 ipakpakitana nga imposible a mapasamak iti maysa a banag.,0 shows that it is impossible for something to happen.
ti 1 ipakpakitana a sigurado a mapasamak iti maysa a banag.,1 shows that something is sure to happen.
adda dagiti banag a mabalin a mapasamak kaniatayo iti inaldaw.,there are things that could happen to us every day
"mabalin a sigurado a mapasamak daytoy, mabalin met a mapasamak pay laeng, mabalin met a dua.","this may be sure to happen, it can still happen, it can be both."
adda met ti banbanag a saan a mabalin a mapasamak ken adda met ti imposible a mapasamak.,there are also things that cannot happen and there are also things that are impossible to happen.
dagiti numero ket ar-aramaten tayo ti amin nga ar-aramiden ken pannakelangen ti inaldaw-aldaw.,we use numbers in all our every task and everyday needs.
mano a tattao ti naragsakan iti kansion ni glenda?,how many people are happy with glenda's song?
kasatnu ngata kaadu ti numero a 3 245?,"how many numbers are 3,245?"
mano a tattao ti naragsakan ken simmuporta ti kansion ni glenda?,how many people are happy and support glenda's song?
mano a digit ti 3 245?,"how many digits is 3,245?"
kasatnu ti panangiparang ti numero a 3 245? ammoyo kadi?,"how is the number 3,245 represented? do you know?"
mano a grupo ti ribu ti inka nabuo?,how many thousands groups have you formed?
mano a gasut ti addana? sagsasangapulo? sagmamaysa?,how many hundreds are there? tens? ones?
inusar ti place value chart tapno matarusam a nalaeng ti place value ken value ti 4-5 digit a numero.,the place value chart is used to understand properly the place value and value of a 45 digit number.
adda dagiti palawag ken pagannurutan a nailanad tapno matulungannaka no kasano a masungbatan dagiti nagduduma a saludsod.,there are explanation and steps laid out to help you on how to answer the different questions.
ania ti kababaan ken kaadduan a mabuom a numero nga adda kadagiti ulap?,what is the smallest and largest number you can form using the clouds?
daytoy ti nabuo nga numero,this is the number formed.
"tapno matarusam nga nalaing ti husto a lugar dagiti numero, agaramattayo ti place value chart.","to understand properly the correct placement of numbers, we use place value chart."
ti numero nga adda idiay linya ti thousands place ket addaan ti uppat a digits.,the number in the thousands place line has four digits.
ti numero nga adda idiay linya ti ten thousands place ket addaan ti lima a digits.,the number in the ten thousands place line has five digits.
ti place value ti 4-5 digit ket sarita nga adda s idiay pungto na.,the place value of a 45 digit is a number that has s at its point.
ti value ti kada numero ket nakadepende iti posisyon wenno lugar nga nakalinyaan na. Isursurat daytoy iti sarita.,the value of each number depends on its position or place in the line. this is written in words.
mangrugi iti numero nga sankadakkelan agpabpabassit.,start from the largest number going to the smallest.
mabalen met a basaen ti numero mangrugi thousands period kalpasanna ket ti units period.,the number can also be read starting from the thousands period and then the units period.
ti panagbasa ti simbolo ket agaramat ti espasyo tapno mailasin dagiti periods,reading the symbols uses a space to separate the periods.
isurat ti usto a bilang nga mangiladladawan kadagiti sumaganad a simbolo ti tunggal set.,write the correct number represented by the following symbols for each set.
ti panangkuenta ket maus-usartayo nga inaldaw nga aramid ken pannakitimpuyog.,counting is something we use daily for work and cooperation.
napateg a masursurom ti linaonna daytoy a modiul.,it is important that you learn the contents of this module.
"i-round off dagiti sumaganad ti kaasitgan a sagsangapulo, gasut ken ribu.","round off the following to the nearest tens, hundreds, and thousands."
tapno mai-round off ti numero mabalintayo nga usaren iti number line.,"to round off a number, we can use the number line."
"no ti numero ket as-asideg ti basbassit a numero, i- round downtayo daytoy.","if the number is closer to the smaller number, we round it down."
"no as-asideg met ti numero ti daddadakkel a numero, i-round uptayo daytoy.","if the number is closer to the larger number, we round it up."
mai-round offtayo met ti numero nu kitaen iti place value ti maysa a numero sakbay a kitaenyo ti numero iti kannawanna.,we can also round off a number by looking at the place value of a number before looking at the number to its right.
"no daytoy ket ti numero a 0-4, i-round downtayo daytoy.","if this number is 04, we round it down."
"ti numero ket 5-9, i-round up daytoy.","if the number is 59, round it up."
baliwan amin iti zero ti kannawan iti numero a mai-round off.,change all to zero the numbers to the right of the number to be rounded off.
